"item","value"
"purpose","unified truth-referenced three-method Burst accuracy"
"methods","Mean-ISI article default; LogISI/newBD article default; STPD current automatic zero-example"
"truth_used_for_thresholds","none"
"real_score_mask","review_status == manually_labeled; same eligible trains for all methods"
"real_eligibility","event_reference_eligible == TRUE in each region automatic/reference_profile.csv; exact train set required for every method"
"real_cluster_source","Group_ID read from each region automatic/reference_profile.csv"
"synthetic_release_split","v2.3.0 holdout"
"event_matching","one_to_one_max_cardinality_then_max_total_iou_v1"
"event_iou_thresholds","0.10;0.25;0.50"
"bootstrap_units","real=Group_ID; synthetic=Template_ID"
"bootstrap_resampling","sample clusters with replacement within dataset x region x estimand x scale; keep all member trains; recompute pooled counts per replicate"
"bootstrap_intervals","percentile 95% intervals (quantile type 6), 1,000 frozen replicates, for ISI-support and event precision/recall/F1"
"coordinate_conversion","STPD right-spike product coordinates converted to one-based ISI truth rows by subtracting one"
